,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,7626000.0,-15927000.0,-35091000.0,-1592978.347939
Tax Rate For Calcs,0.3,0.3,0.3,0.130358
Normalized EBITDA,6958920000.0,6052620000.0,4349550000.0,886230000.0
Total Unusual Items,25420000.0,-53090000.0,-116970000.0,-12220000.0
Total Unusual Items Excluding Goodwill,25420000.0,-53090000.0,-116970000.0,-12220000.0
Net Income From Continuing Operation Net Minority Interest,478270000.0,-21270000.0,-616790000.0,-3198290000.0
Reconciled Depreciation,1399290000.0,1479760000.0,1250450000.0,1305820000.0
Reconciled Cost Of Revenue,3862040000.0,3398170000.0,2537310000.0,1722940000.0
EBITDA,6984340000.0,5999530000.0,4232580000.0,874010000.0
EBIT,5585050000.0,4519770000.0,2982130000.0,-431810000.0
Net Interest Income,-4012200000.0,-4145580000.0,-3459300000.0,-3214670000.0
Interest Expense,4564330000.0,4325480000.0,3587720000.0,3245900000.0
Interest Income,577310000.0,213250000.0,139200000.0,59120000.0
Normalized Income,460476000.0,15893000.0,-534911000.0,-3187662978.347939
Net Income From Continuing And Discontinued Operation,478270000.0,-21270000.0,-616790000.0,-3198290000.0
Total Expenses,8349220000.0,7601970000.0,5929690000.0,4523200000.0
Rent Expense Supplemental,9450000.0,19960000.0,14880000.0,10380000.0
Diluted Average Shares,333957878.0,333957878.0,333957878.0,333957878.0
Basic Average Shares,333957878.0,333957878.0,333957878.0,333957878.0
Diluted EPS,1.432127,-0.063691,-1.84691,-9.576926
Basic EPS,1.432127,-0.063691,-1.84691,-9.576926
Diluted NI Availto Com Stockholders,478270000.0,118630000.0,-496310000.0,-3089260000.0
Average Dilution Earnings,0.0,139900000.0,120480000.0,109030000.0
Net Income Common Stockholders,478270000.0,-21270000.0,-616790000.0,-3198290000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,478270000.0,-21270000.0,-616790000.0,-3198290000.0
Minority Interests,1690000.0,0.0,0.0,
Net Income Including Noncontrolling Interests,476580000.0,-21270000.0,-616790000.0,-3198290000.0
Net Income Continuous Operations,476580000.0,-21270000.0,-616790000.0,-3198290000.0
Tax Provision,544140000.0,215560000.0,11200000.0,-479420000.0
Pretax Income,1020720000.0,194290000.0,-605590000.0,-3677710000.0
Other Non Operating Income Expenses,352540000.0,279260000.0,297290000.0,271870000.0
Special Income Charges,25420000.0,-53090000.0,-116970000.0,-12220000.0
Other Special Charges,-510000.0,7680000.0,6900000.0,-27990000.0
Write Off,-24910000.0,45410000.0,110070000.0,40210000.0
Net Non Operating Interest Income Expense,-4012200000.0,-4145580000.0,-3459300000.0,-3214670000.0
Total Other Finance Cost,25180000.0,33350000.0,10780000.0,27890000.0
Interest Expense Non Operating,4564330000.0,4325480000.0,3587720000.0,3245900000.0
Interest Income Non Operating,577310000.0,213250000.0,139200000.0,59120000.0
Operating Income,4656510000.0,4112560000.0,2670890000.0,-722130000.0
Operating Expense,4487180000.0,4203800000.0,3392380000.0,2800260000.0
Other Operating Expenses,1714300000.0,1536280000.0,1251130000.0,946070000.0
Depreciation And Amortization In Income Statement,1399290000.0,1479760000.0,1250450000.0,1305820000.0
Amortization,232180000.0,404570000.0,395230000.0,391170000.0
Depreciation Income Statement,1167110000.0,1075190000.0,855220000.0,914650000.0
Selling General And Administration,1358760000.0,1116270000.0,794310000.0,470750000.0
Selling And Marketing Expense,1084120000.0,888720000.0,580180000.0,278550000.0
General And Administrative Expense,274640000.0,227550000.0,214130000.0,192200000.0
Rent And Landing Fees,9450000.0,19960000.0,14880000.0,10380000.0
Gross Profit,9143690000.0,8316360000.0,6063270000.0,2078130000.0
Cost Of Revenue,3862040000.0,3398170000.0,2537310000.0,1722940000.0
Total Revenue,13005730000.0,11714530000.0,8600580000.0,3801070000.0
Operating Revenue,13005730000.0,11714530000.0,8600580000.0,3801070000.0
