,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,3335500.0,3284776.0,1341544.0,-436020.0,
Tax Rate For Calcs,0.1906,0.2519,0.2536,0.2535,
Normalized EBITDA,6400380000.0,6118670000.0,6130040000.0,5251400000.0,
Total Unusual Items,17500000.0,13040000.0,5290000.0,-1720000.0,
Total Unusual Items Excluding Goodwill,17500000.0,13040000.0,5290000.0,-1720000.0,
Net Income From Continuing Operation Net Minority Interest,4473860000.0,3921420000.0,3907450000.0,3271050000.0,
Reconciled Depreciation,847700000.0,851680000.0,871990000.0,843370000.0,
Reconciled Cost Of Revenue,20779950000.0,18804540000.0,18258480000.0,14146720000.0,
EBITDA,6417880000.0,6131710000.0,6135330000.0,5249680000.0,
EBIT,5570180000.0,5280030000.0,5263340000.0,4406310000.0,
Net Interest Income,177600000.0,107440000.0,6290000.0,3420000.0,
Interest Expense,42890000.0,37890000.0,28130000.0,24470000.0,
Interest Income,220490000.0,145330000.0,34420000.0,27890000.0,
Normalized Income,4459695500.0,3911664776.0,3903501544.0,3272333980.0,
Net Income From Continuing And Discontinued Operation,4473860000.0,3921420000.0,3907450000.0,3271050000.0,
Total Expenses,26246400000.0,24023530000.0,23004660000.0,17473980000.0,
Rent Expense Supplemental,13200000.0,13530000.0,11410000.0,13150000.0,
Diluted Average Shares,75218734.0,75218734.0,75218734.0,75218734.0,
Basic Average Shares,75218734.0,75218734.0,75218734.0,75218734.0,
Diluted EPS,59.48,52.13,51.95,43.49,
Basic EPS,59.48,52.13,51.95,43.49,
Diluted NI Availto Com Stockholders,4473860000.0,3921420000.0,3907450000.0,3271050000.0,
Net Income Common Stockholders,4473860000.0,3921420000.0,3907450000.0,3271050000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4473860000.0,3921420000.0,3907450000.0,3271050000.0,
Net Income Including Noncontrolling Interests,4473860000.0,3921420000.0,3907450000.0,3271050000.0,
Net Income Continuous Operations,4473860000.0,3921420000.0,3907450000.0,3271050000.0,
Tax Provision,1053430000.0,1320720000.0,1327760000.0,1110790000.0,
Pretax Income,5527290000.0,5242140000.0,5235210000.0,4381840000.0,
Other Non Operating Income Expenses,62820000.0,27150000.0,24160000.0,4800000.0,
Special Income Charges,17500000.0,13040000.0,5290000.0,-1720000.0,
Other Special Charges,-18230000.0,-13040000.0,-5290000.0,1720000.0,
Write Off,730000.0,0.0,,,0.0
Net Non Operating Interest Income Expense,177600000.0,107440000.0,6290000.0,3420000.0,
Interest Expense Non Operating,42890000.0,37890000.0,28130000.0,24470000.0,
Interest Income Non Operating,220490000.0,145330000.0,34420000.0,27890000.0,
Operating Income,5095510000.0,4933600000.0,4873880000.0,4344300000.0,
Operating Expense,5466450000.0,5218990000.0,4746180000.0,3327260000.0,
Other Operating Expenses,2006860000.0,1870530000.0,1702880000.0,681790000.0,
Depreciation And Amortization In Income Statement,847700000.0,851680000.0,871990000.0,843370000.0,
Amortization,47040000.0,48020000.0,52960000.0,52640000.0,
Depreciation Income Statement,800660000.0,803660000.0,819030000.0,790730000.0,
Selling General And Administration,1053240000.0,1029460000.0,880880000.0,661030000.0,
Selling And Marketing Expense,694370000.0,685020000.0,612730000.0,461260000.0,
General And Administrative Expense,358870000.0,344440000.0,268150000.0,199770000.0,
Rent And Landing Fees,13200000.0,13530000.0,11410000.0,13150000.0,
Gross Profit,10561960000.0,10152590000.0,9620060000.0,7671560000.0,
Cost Of Revenue,20779950000.0,18804540000.0,18258480000.0,14146720000.0,
Total Revenue,31341910000.0,28957130000.0,27878540000.0,21818280000.0,
Operating Revenue,31341910000.0,28957130000.0,27878540000.0,21818280000.0,
