,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,417384785.005513,458308457.711443,324441196.312121,133712121.212121
Tax Rate For Calcs,0.264168,0.243781,0.263773,0.243113
Normalized EBITDA,60230000000.0,56380000000.0,50650000000.0,34660000000.0
Total Unusual Items,1580000000.0,1880000000.0,1230000000.0,550000000.0
Total Unusual Items Excluding Goodwill,1580000000.0,1880000000.0,1230000000.0,550000000.0
Net Income From Continuing Operation Net Minority Interest,33370000000.0,34960000000.0,32500000000.0,21730000000.0
Reconciled Depreciation,6930000000.0,5840000000.0,4410000000.0,3990000000.0
Reconciled Cost Of Revenue,475150000000.0,394890000000.0,304110000000.0,216850000000.0
EBITDA,61810000000.0,58260000000.0,51880000000.0,35210000000.0
EBIT,54880000000.0,52420000000.0,47470000000.0,31220000000.0
Net Interest Income,-6520000000.0,-3700000000.0,-1570000000.0,-1220000000.0
Interest Expense,9530000000.0,6190000000.0,3000000000.0,2180000000.0
Interest Income,3010000000.0,2490000000.0,1430000000.0,960000000.0
Normalized Income,32207384785.005512,33538308457.711445,31594441196.312122,21313712121.21212
Net Income From Continuing And Discontinued Operation,33370000000.0,34960000000.0,32500000000.0,21730000000.0
Total Expenses,552900000000.0,462130000000.0,359670000000.0,257650000000.0
Rent Expense Supplemental,380000000.0,480000000.0,350000000.0,40000000.0
Diluted Average Shares,887342510.0,887653172.0,887786160.0,887786160.0
Basic Average Shares,887052227.0,887395949.0,887786160.0,887786160.0
Diluted EPS,37.61,39.38,36.61,24.48
Basic EPS,37.62,39.4,36.61,24.48
Diluted NI Availto Com Stockholders,33370000000.0,34960000000.0,32500000000.0,21730000000.0
Net Income Common Stockholders,33370000000.0,34960000000.0,32500000000.0,21730000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,33370000000.0,34960000000.0,32500000000.0,21730000000.0
Minority Interests,0.0,0.0,-240000000.0,-250000000.0
Net Income Including Noncontrolling Interests,33370000000.0,34960000000.0,32740000000.0,21980000000.0
Net Income Continuous Operations,33370000000.0,34960000000.0,32740000000.0,21980000000.0
Tax Provision,11980000000.0,11270000000.0,11730000000.0,7060000000.0
Pretax Income,45350000000.0,46230000000.0,44470000000.0,29040000000.0
Other Non Operating Income Expenses,260000000.0,810000000.0,3080000000.0,510000000.0
Special Income Charges,10000000.0,-150000000.0,170000000.0,-310000000.0
Other Special Charges,-10000000.0,-810000000.0,-560000000.0,60000000.0
Write Off,0.0,150000000.0,390000000.0,250000000.0
Net Non Operating Interest Income Expense,-6520000000.0,-3700000000.0,-1570000000.0,-1220000000.0
Total Other Finance Cost,,,50000000.0,
Interest Expense Non Operating,9530000000.0,6190000000.0,3000000000.0,2180000000.0
Interest Income Non Operating,3010000000.0,2490000000.0,1430000000.0,960000000.0
Operating Income,50080000000.0,47230000000.0,44800000000.0,29710000000.0
Operating Expense,77750000000.0,67240000000.0,55560000000.0,40800000000.0
Other Operating Expenses,15400000000.0,11170000000.0,8520000000.0,6300000000.0
Depreciation And Amortization In Income Statement,6930000000.0,5840000000.0,4410000000.0,3990000000.0
Amortization,610000000.0,420000000.0,320000000.0,2220000000.0
Depreciation Income Statement,6320000000.0,5420000000.0,4090000000.0,1770000000.0
Selling General And Administration,32870000000.0,30740000000.0,25750000000.0,16540000000.0
Selling And Marketing Expense,29960000000.0,27650000000.0,23190000000.0,14830000000.0
General And Administrative Expense,2910000000.0,3090000000.0,2560000000.0,1710000000.0
Rent And Landing Fees,380000000.0,480000000.0,350000000.0,40000000.0
Gross Profit,127830000000.0,114470000000.0,100360000000.0,70510000000.0
Cost Of Revenue,475150000000.0,394890000000.0,304110000000.0,216850000000.0
Total Revenue,602980000000.0,509360000000.0,404470000000.0,287360000000.0
Operating Revenue,602980000000.0,509360000000.0,404470000000.0,287360000000.0
