,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-485160000.0,-3290140000.0,1195840000.0,4317390000.0,
Tax Rate For Calcs,0.311,0.142,0.2,0.3,
Normalized EBITDA,622750000000.0,656100000000.0,378818500000.0,257050100000.0,
Total Unusual Items,-1560000000.0,-23170000000.0,5979200000.0,14391300000.0,
Total Unusual Items Excluding Goodwill,-1560000000.0,-23170000000.0,5979200000.0,14391300000.0,
Net Income From Continuing Operation Net Minority Interest,229590000000.0,320450000000.0,24142900000.0,-114414700000.0,
Reconciled Depreciation,232560000000.0,272700000000.0,248603600000.0,248356900000.0,
Reconciled Cost Of Revenue,2739710000000.0,2748530000000.0,2280792700000.0,1823319100000.0,
EBITDA,621190000000.0,632930000000.0,384797700000.0,271441400000.0,
EBIT,388630000000.0,360230000000.0,136194100000.0,23084500000.0,
Net Interest Income,-26100000000.0,-50700000000.0,-89743000000.0,-86866400000.0,
Interest Expense,50830000000.0,75940000000.0,102254800000.0,93118600000.0,
Interest Income,24730000000.0,25240000000.0,12511800000.0,6252200000.0,
Normalized Income,230664840000.0,340329860000.0,19359540000.0,-124488610000.0,
Net Income From Continuing And Discontinued Operation,278300000000.0,313990000000.0,24142900000.0,-114414700000.0,
Total Expenses,4327540000000.0,4228350000000.0,3500120500000.0,2812731900000.0,
Diluted Average Shares,3533978150.0,3325292749.0,3321146115.0,3320402491.0,
Basic Average Shares,3531438766.0,3322265695.0,3321146115.0,3320402491.0,
Diluted EPS,78.75,81.88,6.29,-29.88,
Basic EPS,78.8,81.95,6.29,-29.88,
Diluted NI Availto Com Stockholders,278300000000.0,313990000000.0,24142900000.0,-114414700000.0,
Net Income Common Stockholders,278300000000.0,313990000000.0,24142900000.0,-114414700000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,278300000000.0,313990000000.0,24142900000.0,-114414700000.0,
Minority Interests,-3190000000.0,-4080000000.0,-2755800000.0,-1327100000.0,
Net Income Including Noncontrolling Interests,281490000000.0,318070000000.0,26898700000.0,-113087600000.0,
Net Income Extraordinary,,,3363800000.0,-740600000.0,
Net Income Discontinuous Operations,48710000000.0,-6460000000.0,,,
Net Income Continuous Operations,232780000000.0,324530000000.0,26898700000.0,-113087600000.0,
Tax Provision,105020000000.0,-40240000000.0,7040600000.0,42312900000.0,
Pretax Income,337800000000.0,284290000000.0,33939300000.0,-70034100000.0,
Other Income Expense,,,,191564500000.0,36038900000.0
Other Non Operating Income Expenses,312060000000.0,267100000000.0,184210900000.0,63265200000.0,
Special Income Charges,-5500000000.0,-9390000000.0,15905300000.0,-2009200000.0,
Other Special Charges,4570000000.0,8490000000.0,-16075500000.0,2773500000.0,
Write Off,,0.0,-2143900000.0,-862600000.0,0.0
Impairment Of Capital Assets,310000000.0,1020000000.0,2299600000.0,0.0,
Restructuring And Mergern Acquisition,620000000.0,-120000000.0,14500000.0,98300000.0,
Earnings From Equity Interest,,,,-740600000.0,-3789600000.0
Gain On Sale Of Security,,,,15907700000.0,34269600000.0
Net Non Operating Interest Income Expense,-26100000000.0,-50700000000.0,-89743000000.0,-86866400000.0,
Interest Expense Non Operating,50830000000.0,75940000000.0,102254800000.0,93118600000.0,
Interest Income Non Operating,24730000000.0,25240000000.0,12511800000.0,6252200000.0,
Operating Income,40670000000.0,83770000000.0,-71374600000.0,-60379600000.0,
Operating Expense,1587830000000.0,1479820000000.0,1219327800000.0,989412800000.0,
Other Operating Expenses,635960000000.0,554600000000.0,451784800000.0,261643500000.0,
Provision For Doubtful Accounts,,,,14265900000.0,9786300000.0
Depreciation Amortization Depletion Income Statement,,,,239317100000.0,229638100000.0
Depreciation And Amortization In Income Statement,232560000000.0,272390000000.0,248603600000.0,248356900000.0,
Depreciation Income Statement,232560000000.0,272390000000.0,248603600000.0,248356900000.0,
Research And Development,107160000000.0,109590000000.0,106619600000.0,92095000000.0,
Selling General And Administration,197800000000.0,181090000000.0,135830200000.0,111416100000.0,
Selling And Marketing Expense,197800000000.0,181090000000.0,135830200000.0,111416100000.0,
General And Administrative Expense,,,,4157700000.0,3362400000.0
Insurance And Claims,,,,4157700000.0,3362400000.0
Salaries And Wages,,,,308183100000.0,281931800000.0
Gross Profit,1628500000000.0,1563590000000.0,1147953200000.0,929033200000.0,
Cost Of Revenue,2739710000000.0,2748530000000.0,2280792700000.0,1823319100000.0,
Total Revenue,4368210000000.0,4312120000000.0,3428745900000.0,2752352300000.0,
Operating Revenue,4368210000000.0,4312120000000.0,3428745900000.0,2752352300000.0,
