,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,114751081.91036,270694695.268334,287333492.911066,-2399929022.820363,
Tax Rate For Calcs,0.059636,0.265856,0.288256,0.186659,
Normalized EBITDA,55739300000.0,47759200000.0,50292700000.0,38003600000.0,
Total Unusual Items,1924200000.0,1018200000.0,996800000.0,-12857300000.0,
Total Unusual Items Excluding Goodwill,1924200000.0,1018200000.0,996800000.0,-12857300000.0,
Net Income From Continuing Operation Net Minority Interest,29885000000.0,18332300000.0,21174300000.0,4539800000.0,
Reconciled Depreciation,14971200000.0,13775000000.0,12843900000.0,13367400000.0,
Reconciled Cost Of Revenue,225030400000.0,214557500000.0,199169800000.0,98143500000.0,
EBITDA,57663500000.0,48777400000.0,51289500000.0,25146300000.0,
EBIT,42692300000.0,35002400000.0,38445600000.0,11778900000.0,
Net Interest Income,-9082700000.0,-8866000000.0,-7493600000.0,-5615900000.0,
Interest Expense,10166500000.0,9176400000.0,8032000000.0,6139200000.0,
Interest Income,1366000000.0,568000000.0,688400000.0,666200000.0,
Normalized Income,28075551081.91036,17584794695.268333,20464833492.911064,14997170977.179638,
Net Income From Continuing And Discontinued Operation,29885000000.0,18332300000.0,21174300000.0,4539800000.0,
Total Expenses,249928700000.0,236598900000.0,218844900000.0,117276500000.0,
Rent Expense Supplemental,419500000.0,256500000.0,230800000.0,175500000.0,
Diluted Average Shares,488081307.0,480616784.0,480616784.0,480616784.0,
Basic Average Shares,488081307.0,480616784.0,480616784.0,480616784.0,
Diluted EPS,61.23,38.14,44.06,9.45,
Basic EPS,61.23,38.14,44.06,9.45,
Diluted NI Availto Com Stockholders,29885000000.0,18332300000.0,21174300000.0,4539800000.0,
Net Income Common Stockholders,29885000000.0,18332300000.0,21174300000.0,4539800000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,29885000000.0,18332300000.0,21174300000.0,4539800000.0,
Minority Interests,-701100000.0,-627700000.0,-472400000.0,-47200000.0,
Net Income Including Noncontrolling Interests,30586100000.0,18960000000.0,21646700000.0,4587000000.0,
Net Income Continuous Operations,30586100000.0,18960000000.0,21646700000.0,4587000000.0,
Tax Provision,1939700000.0,6866000000.0,8766900000.0,1052700000.0,
Pretax Income,32525800000.0,25826000000.0,30413600000.0,5639700000.0,
Other Non Operating Income Expenses,1308500000.0,1368600000.0,1834600000.0,783400000.0,
Special Income Charges,-152000000.0,-95900000.0,131400000.0,-13403000000.0,
Other Special Charges,26900000.0,-28200000.0,-171600000.0,-65300000.0,
Write Off,125100000.0,124100000.0,40200000.0,468300000.0,
Impairment Of Capital Assets,,,0.0,13000000000.0,0.0
Net Non Operating Interest Income Expense,-9082700000.0,-8866000000.0,-7493600000.0,-5615900000.0,
Total Other Finance Cost,282200000.0,257600000.0,150000000.0,142900000.0,
Interest Expense Non Operating,10166500000.0,9176400000.0,8032000000.0,6139200000.0,
Interest Income Non Operating,1366000000.0,568000000.0,688400000.0,666200000.0,
Operating Income,38481200000.0,32345000000.0,35183500000.0,23276100000.0,
Operating Expense,24898300000.0,22041400000.0,19675100000.0,19133000000.0,
Other Operating Expenses,5419400000.0,4382900000.0,3532000000.0,2315800000.0,
Depreciation And Amortization In Income Statement,14971200000.0,13775000000.0,12809600000.0,13338600000.0,
Amortization,380800000.0,398900000.0,423400000.0,106200000.0,
Depreciation Income Statement,14590400000.0,13376100000.0,12386200000.0,13232400000.0,
Selling General And Administration,1621500000.0,1514800000.0,1329500000.0,974900000.0,
General And Administrative Expense,1621500000.0,1514800000.0,1329500000.0,974900000.0,
Rent And Landing Fees,419500000.0,256500000.0,230800000.0,175500000.0,
Gross Profit,63379500000.0,54386400000.0,54858600000.0,42409100000.0,
Cost Of Revenue,225030400000.0,214557500000.0,199169800000.0,98143500000.0,
Total Revenue,288409900000.0,268943900000.0,254028400000.0,140552600000.0,
Operating Revenue,288409900000.0,268943900000.0,254028400000.0,140552600000.0,
