,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,445146399.538857,1936689685.188174,504882360.0,278997060.0,
Tax Rate For Calcs,0.244036,0.230822,0.2196,0.2274,
Normalized EBITDA,28818300000.0,20727300000.0,11857300000.0,6048200000.0,
Total Unusual Items,1824100000.0,8390400000.0,2299100000.0,1226900000.0,
Total Unusual Items Excluding Goodwill,1824100000.0,8390400000.0,2299100000.0,1226900000.0,
Net Income From Continuing Operation Net Minority Interest,15467200000.0,14868000000.0,4446300000.0,1058300000.0,
Reconciled Depreciation,8959100000.0,6718400000.0,4944200000.0,3115500000.0,
Reconciled Cost Of Revenue,98442300000.0,70459200000.0,47924400000.0,25094800000.0,
EBITDA,30642400000.0,29117700000.0,14156400000.0,7275100000.0,
EBIT,21683300000.0,22399300000.0,9212200000.0,4159600000.0,
Net Interest Income,-1693300000.0,-3491000000.0,-3923200000.0,-3038700000.0,
Interest Expense,1385900000.0,3191000000.0,3691500000.0,3047400000.0,
Interest Income,307700000.0,185600000.0,166700000.0,209700000.0,
Normalized Income,14088246399.538857,8414289685.188174,2652082360.0,110397060.0,
Net Income From Continuing And Discontinued Operation,15467200000.0,14868000000.0,4446300000.0,1058300000.0,
Total Expenses,149697300000.0,109213900000.0,74989000000.0,41428400000.0,
Rent Expense Supplemental,15168800000.0,10891500000.0,6837600000.0,3597200000.0,
Diluted Average Shares,355487461.0,355487461.0,355487461.0,355487461.0,
Basic Average Shares,355487461.0,355487461.0,355487461.0,355487461.0,
Diluted EPS,43.51,41.82,12.51,2.98,
Basic EPS,43.51,41.82,12.51,2.98,
Diluted NI Availto Com Stockholders,15467200000.0,14868000000.0,4446300000.0,1058300000.0,
Net Income Common Stockholders,15467200000.0,14868000000.0,4446300000.0,1058300000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,15467200000.0,14868000000.0,4446300000.0,1058300000.0,
Minority Interests,123100000.0,93400000.0,510000000.0,712300000.0,
Net Income Including Noncontrolling Interests,15344100000.0,14774600000.0,3936300000.0,346000000.0,
Net Income Continuous Operations,15344100000.0,14774600000.0,3936300000.0,346000000.0,
Tax Provision,4953300000.0,4433700000.0,1584400000.0,766200000.0,
Pretax Income,20297400000.0,19208300000.0,5520700000.0,1112200000.0,
Other Non Operating Income Expenses,165500000.0,153600000.0,146400000.0,100800000.0,
Special Income Charges,1024700000.0,7847300000.0,2188000000.0,918900000.0,
Other Special Charges,-1024700000.0,-7847300000.0,-2188000000.0,-1037900000.0,
Impairment Of Capital Assets,,,,0.0,14900000.0
Restructuring And Mergern Acquisition,,,0.0,119000000.0,0.0
Net Non Operating Interest Income Expense,-1693300000.0,-3491000000.0,-3923200000.0,-3038700000.0,
Total Other Finance Cost,615100000.0,485600000.0,398400000.0,201000000.0,
Interest Expense Non Operating,1385900000.0,3191000000.0,3691500000.0,3047400000.0,
Interest Income Non Operating,307700000.0,185600000.0,166700000.0,209700000.0,
Operating Income,19039900000.0,12839200000.0,6134300000.0,2744300000.0,
Operating Expense,51255000000.0,38754700000.0,27064600000.0,16333600000.0,
Other Operating Expenses,7543300000.0,5464900000.0,3723800000.0,2097500000.0,
Depreciation And Amortization In Income Statement,8951800000.0,6711100000.0,4936900000.0,3108200000.0,
Depreciation Income Statement,8951800000.0,6711100000.0,4936900000.0,3108200000.0,
Selling General And Administration,8789000000.0,6751000000.0,6137800000.0,4194800000.0,
Selling And Marketing Expense,5005900000.0,3836700000.0,3871100000.0,2437000000.0,
General And Administrative Expense,3783100000.0,2914300000.0,2266700000.0,1757800000.0,
Rent And Landing Fees,15168800000.0,10891500000.0,6837600000.0,3597200000.0,
Gross Profit,70294900000.0,51593900000.0,33198900000.0,19077900000.0,
Cost Of Revenue,98442300000.0,70459200000.0,47924400000.0,25094800000.0,
Total Revenue,168737200000.0,122053100000.0,81123300000.0,44172700000.0,
Operating Revenue,168737200000.0,122053100000.0,81123300000.0,44172700000.0,
