,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,399056.307015,2705989.016682,-32791989.86081,
Tax Rate For Calcs,0.218776,0.266038,0.237367,0.25322,
Normalized EBITDA,9666800000.0,10105800000.0,9685800000.0,15438900000.0,
Total Unusual Items,20300000.0,50700000.0,11400000.0,-129500000.0,
Total Unusual Items Excluding Goodwill,20300000.0,50700000.0,11400000.0,-129500000.0,
Net Income From Continuing Operation Net Minority Interest,3698800000.0,3495200000.0,4407400000.0,8337500000.0,
Reconciled Depreciation,3662000000.0,3649800000.0,3127700000.0,3328000000.0,
Reconciled Cost Of Revenue,39761400000.0,38068100000.0,36806700000.0,37294600000.0,
EBITDA,9687100000.0,10156500000.0,9697200000.0,15309400000.0,
EBIT,6025100000.0,6306700000.0,6569500000.0,11981400000.0,
Net Interest Income,-891100000.0,-1138200000.0,-625700000.0,-786300000.0,
Interest Expense,1279600000.0,1538200000.0,778900000.0,816800000.0,
Interest Income,410700000.0,425500000.0,170500000.0,76000000.0,
Normalized Income,3682941146.349173,3457988103.1771,4398705989.016682,8434208010.13919,
Net Income From Continuing And Discontinued Operation,3698800000.0,3495200000.0,4407400000.0,8337500000.0,
Total Expenses,60565400000.0,58924000000.0,53495700000.0,53958000000.0,
Rent Expense Supplemental,48000000.0,28700000.0,29800000.0,38000000.0,
Diluted Average Shares,5036462171.0,5032640716.0,5009661277.0,4999447045.0,
Basic Average Shares,5036259908.0,5032051609.0,5009006773.0,4999447045.0,
Diluted EPS,0.73,0.69,0.88,1.67,
Basic EPS,0.73,0.69,0.88,1.67,
Diluted NI Availto Com Stockholders,3698800000.0,3495200000.0,4407400000.0,8337500000.0,
Net Income Common Stockholders,3698800000.0,3495200000.0,4407400000.0,8337500000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,3698800000.0,3495200000.0,4407400000.0,8337500000.0,
Minority Interests,-8500000.0,-4700000.0,-8700000.0,0.0,
Net Income Including Noncontrolling Interests,3707300000.0,3499900000.0,4416100000.0,8337500000.0,
Net Income Continuous Operations,3707300000.0,3499900000.0,4416100000.0,8337500000.0,
Tax Provision,1038200000.0,1268600000.0,1374500000.0,2827100000.0,
Pretax Income,4745500000.0,4768500000.0,5790600000.0,11164600000.0,
Other Non Operating Income Expenses,129800000.0,90500000.0,51700000.0,54800000.0,
Special Income Charges,6000000.0,63100000.0,14200000.0,-131700000.0,
Other Special Charges,1400000.0,-60900000.0,-20600000.0,13100000.0,
Write Off,-7400000.0,-2200000.0,6400000.0,118600000.0,
Net Non Operating Interest Income Expense,-891100000.0,-1138200000.0,-625700000.0,-786300000.0,
Total Other Finance Cost,22200000.0,25500000.0,17300000.0,45500000.0,
Interest Expense Non Operating,1279600000.0,1538200000.0,778900000.0,816800000.0,
Interest Income Non Operating,,425500000.0,170500000.0,76000000.0,208800000.0
Operating Income,5333400000.0,5444500000.0,6328500000.0,11793700000.0,
Operating Expense,20804000000.0,20855900000.0,16689000000.0,16663400000.0,
Other Operating Expenses,8085600000.0,7814700000.0,7295300000.0,6876900000.0,
Depreciation And Amortization In Income Statement,3662000000.0,3849800000.0,3127700000.0,3328000000.0,
Amortization,165100000.0,99400000.0,98500000.0,82200000.0,
Depreciation Income Statement,3496900000.0,3750400000.0,3029200000.0,3245800000.0,
Selling General And Administration,,4114000000.0,3230800000.0,3950000000.0,2590600000.0
Selling And Marketing Expense,2187900000.0,2551600000.0,2082500000.0,2655600000.0,
General And Administrative Expense,1571600000.0,1562400000.0,1148300000.0,1294400000.0,
Rent And Landing Fees,48000000.0,28700000.0,29800000.0,38000000.0,
Gross Profit,26137400000.0,26300400000.0,23017500000.0,28457100000.0,
Cost Of Revenue,39761400000.0,38068100000.0,36806700000.0,37294600000.0,
Total Revenue,65898800000.0,64368500000.0,59824200000.0,65751700000.0,
Operating Revenue,65898800000.0,64368500000.0,59824200000.0,65751700000.0,
