,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,12674231.25559,-5894703.11348,1224371348.016136,-55245889.382015
Tax Rate For Calcs,0.265151,0.252992,0.087505,0.260905
Normalized EBITDA,5290900000.0,6909500000.0,7145812000.0,7300641000.0
Total Unusual Items,47800000.0,-23300000.0,13991958000.0,-211747000.0
Total Unusual Items Excluding Goodwill,47800000.0,-23300000.0,13991958000.0,-211747000.0
Net Income From Continuing Operation Net Minority Interest,2431900000.0,3951600000.0,17918065000.0,4240592000.0
Reconciled Depreciation,1263500000.0,1042400000.0,934810000.0,807450000.0
Reconciled Cost Of Revenue,43710700000.0,38085400000.0,42778758000.0,30148428000.0
EBITDA,5338700000.0,6886200000.0,21137770000.0,7088894000.0
EBIT,4075200000.0,5843800000.0,20202960000.0,6281444000.0
Net Interest Income,-590300000.0,-198000000.0,-26471000.0,-520582000.0
Interest Expense,832900000.0,553900000.0,566609000.0,543896000.0
Interest Income,244200000.0,357000000.0,540912000.0,24711000.0
Normalized Income,2396774231.25559,3969005296.88652,5150478348.016136,4397093110.617985
Net Income From Continuing And Discontinued Operation,2431900000.0,3951600000.0,17918065000.0,4240592000.0
Total Expenses,53044700000.0,46818100000.0,50473741000.0,36129630000.0
Rent Expense Supplemental,28100000.0,25500000.0,20311000.0,23052000.0
Diluted Average Shares,218897968.0,218897968.0,240252175.0,241755110.0
Basic Average Shares,218897968.0,218897968.0,240252175.0,241755110.0
Diluted EPS,11.109742,18.052246,74.58,17.54
Basic EPS,11.109742,18.052246,74.58,17.54
Diluted NI Availto Com Stockholders,2431900000.0,3951600000.0,17918065000.0,4240592000.0
Net Income Common Stockholders,2431900000.0,3951600000.0,17918065000.0,4240592000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2431900000.0,3951600000.0,17918065000.0,4240592000.0
Minority Interests,49300000.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,2382600000.0,3951600000.0,17918065000.0,4240592000.0
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0
Net Income Continuous Operations,2382600000.0,3951600000.0,17918065000.0,4240592000.0
Tax Provision,859700000.0,1338300000.0,1718286000.0,1496956000.0
Pretax Income,3242300000.0,5289900000.0,19636351000.0,5737548000.0
Other Non Operating Income Expenses,183600000.0,219700000.0,220165000.0,163367000.0
Special Income Charges,28200000.0,-23400000.0,13992215000.0,-220668000.0
Other Special Charges,37300000.0,7000000.0,-13989761000.0,20641000.0
Write Off,10100000.0,18000000.0,1971000.0,200027000.0
Impairment Of Capital Assets,-75600000.0,-1600000.0,-4425000.0,
Net Non Operating Interest Income Expense,-590300000.0,-198000000.0,-26471000.0,-520582000.0
Total Other Finance Cost,1600000.0,1100000.0,774000.0,1397000.0
Interest Expense Non Operating,832900000.0,553900000.0,566609000.0,543896000.0
Interest Income Non Operating,244200000.0,357000000.0,540912000.0,24711000.0
Operating Income,3571400000.0,5274900000.0,5271389000.0,5708266000.0
Operating Expense,9334000000.0,8732700000.0,7694983000.0,5981202000.0
Other Operating Expenses,2913100000.0,3176600000.0,2988726000.0,2497053000.0
Depreciation And Amortization In Income Statement,1261600000.0,1041100000.0,934777000.0,807450000.0
Amortization,13400000.0,12800000.0,9507000.0,7885000.0
Depreciation Income Statement,1248200000.0,1028300000.0,925270000.0,799565000.0
Selling General And Administration,1002500000.0,846200000.0,680716000.0,694579000.0
Selling And Marketing Expense,591500000.0,466300000.0,353096000.0,336741000.0
General And Administrative Expense,411000000.0,379900000.0,327620000.0,357838000.0
Rent And Landing Fees,28100000.0,25500000.0,20311000.0,23052000.0
Gross Profit,12905400000.0,14007600000.0,12966372000.0,11689468000.0
Cost Of Revenue,43710700000.0,38085400000.0,42778758000.0,30148428000.0
Total Revenue,56616100000.0,52093000000.0,55745130000.0,41837896000.0
Operating Revenue,56616100000.0,52093000000.0,55745130000.0,41837896000.0
