,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,89130523.34289,225869939.49663,350109980.73377,-117827803.035274,
Tax Rate For Calcs,0.329625,0.342643,0.323637,0.314879,
Normalized EBITDA,66070300000.0,54827100000.0,40425600000.0,27298800000.0,
Total Unusual Items,270400000.0,659200000.0,1081800000.0,-374200000.0,
Total Unusual Items Excluding Goodwill,270400000.0,659200000.0,1081800000.0,-374200000.0,
Net Income From Continuing Operation Net Minority Interest,22056500000.0,16614100000.0,13286700000.0,7568200000.0,
Reconciled Depreciation,10455600000.0,9751200000.0,8588600000.0,7428600000.0,
Reconciled Cost Of Revenue,267797800000.0,243254700000.0,209056600000.0,163169900000.0,
EBITDA,66340700000.0,55486300000.0,41507400000.0,26924600000.0,
EBIT,55885100000.0,45735100000.0,32918800000.0,19496000000.0,
Net Interest Income,37346200000.0,32160600000.0,23988500000.0,15142700000.0,
Interest Expense,20831600000.0,19058900000.0,13558500000.0,8828100000.0,
Interest Income,58255700000.0,51331700000.0,37665000000.0,24547500000.0,
Normalized Income,21875230523.34289,16180769939.49663,12555009980.73377,7824572196.964726,
Net Income From Continuing And Discontinued Operation,22355600000.0,16863700000.0,13286700000.0,7568200000.0,
Total Expenses,370700400000.0,332498100000.0,279806700000.0,217538600000.0,
Diluted Average Shares,475087114.0,475087114.0,475087114.0,475087114.0,
Basic Average Shares,475087114.0,475087114.0,475087114.0,475087114.0,
Diluted EPS,47.05,35.5,27.97,15.93,
Basic EPS,47.05,35.5,27.97,15.93,
Diluted NI Availto Com Stockholders,22355600000.0,16863700000.0,13286700000.0,7568200000.0,
Net Income Common Stockholders,22355600000.0,16863700000.0,13286700000.0,7568200000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,22355600000.0,16863700000.0,13286700000.0,7568200000.0,
Minority Interests,-1442500000.0,-921700000.0,192100000.0,259400000.0,
Net Income Including Noncontrolling Interests,23798100000.0,17785400000.0,13094600000.0,7308800000.0,
Net Income Discontinuous Operations,299100000.0,249600000.0,,,
Net Income Continuous Operations,23499000000.0,17535800000.0,13094600000.0,7308800000.0,
Tax Provision,11554500000.0,9140400000.0,6265700000.0,3359100000.0,
Pretax Income,35053500000.0,26676200000.0,19360300000.0,10667900000.0,
Other Non Operating Income Expenses,153600000.0,171500000.0,169400000.0,182000000.0,
Special Income Charges,1042900000.0,33800000.0,7800000.0,-376500000.0,
Other Special Charges,-1042900000.0,-33800000.0,-7800000.0,376500000.0,
Write Off,,,,0.0,-13300000.0
Net Non Operating Interest Income Expense,37346200000.0,32160600000.0,23988500000.0,15142700000.0,
Total Other Finance Cost,77900000.0,112200000.0,118000000.0,576700000.0,
Interest Expense Non Operating,20831600000.0,19058900000.0,13558500000.0,8828100000.0,
Interest Income Non Operating,58255700000.0,51331700000.0,37665000000.0,24547500000.0,
Operating Income,-1826000000.0,-5813500000.0,-5469900000.0,-4330700000.0,
Operating Expense,102902600000.0,89243400000.0,70750100000.0,54368700000.0,
Other Operating Expenses,47937800000.0,38801400000.0,27746300000.0,20414300000.0,
Depreciation And Amortization In Income Statement,10455600000.0,9561500000.0,8588600000.0,7428600000.0,
Amortization,2971500000.0,2212700000.0,1977200000.0,1147100000.0,
Depreciation Income Statement,7484100000.0,7348800000.0,6611400000.0,6281500000.0,
Selling General And Administration,22732000000.0,17896200000.0,13360700000.0,11158900000.0,
Selling And Marketing Expense,22056900000.0,17386500000.0,12937000000.0,10768200000.0,
General And Administrative Expense,675100000.0,509700000.0,423700000.0,390700000.0,
Gross Profit,101076600000.0,83429900000.0,65280200000.0,50038000000.0,
Cost Of Revenue,267797800000.0,243254700000.0,209056600000.0,163169900000.0,
Total Revenue,368874400000.0,326684600000.0,274336800000.0,213207900000.0,
Operating Revenue,368874400000.0,326684600000.0,274336800000.0,213207900000.0,
