,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-4533199.965744,-15717396.626142,-8522757.166936,1551900.0
Tax Rate For Calcs,0.362221,0.356234,0.358944,0.3
Total Unusual Items,-12515000.0,-44121000.0,-23744000.0,5173000.0
Total Unusual Items Excluding Goodwill,-12515000.0,-44121000.0,-23744000.0,5173000.0
Net Income From Continuing Operation Net Minority Interest,24679739000.0,16715468000.0,18262851000.0,9297634000.0
Reconciled Depreciation,3112582000.0,2809227000.0,2175203000.0,1649552000.0
Net Interest Income,96300841000.0,81007803000.0,73431250000.0,64729493000.0
Interest Expense,154368273000.0,137535555000.0,103073933000.0,85083895000.0
Interest Income,250669114000.0,218543358000.0,176505183000.0,149813388000.0
Normalized Income,24687720800.034256,16743871603.373857,18278072242.833065,9294012900.0
Net Income From Continuing And Discontinued Operation,24679739000.0,16715468000.0,18262851000.0,9297634000.0
Diluted Average Shares,10032439024.0,11955958176.0,11955958176.0,11637754887.0
Basic Average Shares,10032439024.0,11955958176.0,11955958176.0,11637754887.0
Diluted EPS,2.46,1.4,1.53,0.8
Basic EPS,2.46,1.4,1.53,0.8
Diluted NI Availto Com Stockholders,24679739000.0,16715468000.0,18262851000.0,9297634000.0
Net Income Common Stockholders,24679739000.0,16715468000.0,18262851000.0,9297634000.0
Net Income,24679739000.0,16715468000.0,18262851000.0,9297634000.0
Net Income Including Noncontrolling Interests,24679739000.0,16715468000.0,18262851000.0,9297634000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,24679739000.0,16715468000.0,18262851000.0,9297634000.0
Tax Provision,13885900000.0,9151100000.0,10427700000.0,8206000000.0
Pretax Income,38335401000.0,25688458000.0,29051081000.0,9297634000.0
Special Income Charges,-12515000.0,-44121000.0,-23744000.0,5173000.0
Other Special Charges,12515000.0,44121000.0,23744000.0,-5173000.0
Gain On Sale Of Security,4462323000.0,6080729000.0,-3139609000.0,2456245000.0
Operating Expense,83469283000.0,69304139000.0,52653050000.0,47763226000.0
Other Operating Expenses,16876424000.0,10816451000.0,5594588000.0,7420167000.0
Depreciation And Amortization In Income Statement,3112582000.0,2809227000.0,2175203000.0,1649552000.0
Depreciation Income Statement,3112582000.0,2809227000.0,2175203000.0,1649552000.0
Selling General And Administration,637339000.0,591302000.0,536728000.0,472512000.0
Selling And Marketing Expense,139868000.0,92233000.0,86394000.0,63152000.0
General And Administrative Expense,497471000.0,499069000.0,450334000.0,409360000.0
Insurance And Claims,3950486000.0,2886551000.0,2664585000.0,2389766000.0
Rent And Landing Fees,4349241000.0,3321816000.0,2939146000.0,2675262000.0
Total Revenue,114120137000.0,108078302000.0,98514175000.0,95732389000.0
Operating Revenue,114120137000.0,108078302000.0,98514175000.0,95732389000.0
