,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,5173976.611179,7833082.477482,-4516141.425958,-1046700.0
Tax Rate For Calcs,0.233863,0.361138,0.303913,0.3
Total Unusual Items,22124000.0,21690000.0,-14860000.0,-3489000.0
Total Unusual Items Excluding Goodwill,22124000.0,21690000.0,-14860000.0,-3489000.0
Net Income From Continuing Operation Net Minority Interest,180269508000.0,137971187000.0,85116600000.0,52653205000.0
Reconciled Depreciation,10838800000.0,8959300000.0,7445700000.0,7380900000.0
Net Interest Income,376839533000.0,370118691000.0,331303376000.0,280511922000.0
Interest Expense,707333117000.0,633637017000.0,480328447000.0,401784651000.0
Interest Income,1084172650000.0,1003755708000.0,811631823000.0,682296573000.0
Normalized Income,180252557976.61118,137957330082.47748,85126943858.57404,52655647300.0
Net Income From Continuing And Discontinued Operation,180269508000.0,137971187000.0,85116600000.0,52653205000.0
Diluted Average Shares,7633605607.0,7203148214.0,6834747466.0,6772613590.0
Basic Average Shares,7633605607.0,7203148214.0,6834747466.0,6772613590.0
Diluted EPS,23.62,19.15,12.45,7.77
Basic EPS,23.62,19.15,12.45,7.77
Diluted NI Availto Com Stockholders,180269508000.0,137971187000.0,85116600000.0,52653205000.0
Net Income Common Stockholders,180269508000.0,137971187000.0,85116600000.0,52653205000.0
Net Income,180269508000.0,137971187000.0,85116600000.0,52653205000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,180269588000.0,137971201000.0,85116571000.0,52653204000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,180269588000.0,137971201000.0,85116571000.0,52653204000.0
Tax Provision,55027100000.0,77992800000.0,37162000000.0,33578400000.0
Pretax Income,235296688000.0,215964001000.0,122278571000.0,52653204000.0
Special Income Charges,22124000.0,21690000.0,-14860000.0,-3489000.0
Other Special Charges,-22124000.0,-21690000.0,14860000.0,3489000.0
Gain On Sale Of Security,33815067000.0,21218859000.0,11197790000.0,33900743000.0
Operating Expense,284101464000.0,265608274000.0,234652232000.0,197026117000.0
Other Operating Expenses,93006481000.0,82976879000.0,73514576000.0,61512958000.0
Depreciation And Amortization In Income Statement,10838813000.0,8945216000.0,7445671000.0,7448149000.0
Amortization,0.0,-14116000.0,0.0,0.0
Depreciation Income Statement,10838813000.0,8959332000.0,7445671000.0,7448149000.0
Selling General And Administration,4037534000.0,4005917000.0,3816579000.0,2891561000.0
Selling And Marketing Expense,1434981000.0,1453822000.0,1334511000.0,694846000.0
General And Administrative Expense,2602553000.0,2552095000.0,2482068000.0,2196715000.0
Insurance And Claims,14163925000.0,12635105000.0,13750448000.0,11658849000.0
Rent And Landing Fees,12008086000.0,11042764000.0,10823277000.0,10829331000.0
Total Revenue,593396844000.0,551776884000.0,471316461000.0,415759541000.0
Operating Revenue,593396844000.0,551776884000.0,471316461000.0,415759541000.0
