,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,36449000.0,71100660.0,48662250.0,109236600.0
Tax Rate For Calcs,0.254,0.2654,0.2415,0.297
Normalized EBITDA,20708900000.0,17924600000.0,13591000000.0,9629600000.0
Total Unusual Items,143500000.0,267900000.0,201500000.0,367800000.0
Total Unusual Items Excluding Goodwill,143500000.0,267900000.0,201500000.0,367800000.0
Net Income From Continuing Operation Net Minority Interest,9429500000.0,8754200000.0,6535500000.0,3558000000.0
Reconciled Depreciation,6149300000.0,5262200000.0,4299300000.0,3917500000.0
Reconciled Cost Of Revenue,112562800000.0,94458500000.0,75633400000.0,55213800000.0
EBITDA,20852400000.0,18192500000.0,13792500000.0,9997400000.0
EBIT,14703100000.0,12930300000.0,9493200000.0,6079900000.0
Net Interest Income,-1649200000.0,-1077000000.0,-564800000.0,-554900000.0
Interest Expense,1637100000.0,1012000000.0,579700000.0,485700000.0
Interest Income,54400000.0,46600000.0,119200000.0,49600000.0
Normalized Income,9322449000.0,8557400660.0,6382662250.0,3299436600.0
Net Income From Continuing And Discontinued Operation,9429500000.0,8754200000.0,6535500000.0,3558000000.0
Total Expenses,153168200000.0,128493000000.0,102639200000.0,77209900000.0
Rent Expense Supplemental,319700000.0,322800000.0,355900000.0,285200000.0
Diluted Average Shares,575907440.0,574300678.0,574897832.0,565026570.0
Basic Average Shares,574435949.0,573579039.0,572312866.0,562766796.0
Diluted EPS,16.37,15.24,11.37,6.3
Basic EPS,16.42,15.26,11.42,6.32
Diluted NI Availto Com Stockholders,9429500000.0,8754200000.0,6535500000.0,3558000000.0
Net Income Common Stockholders,9429500000.0,8754200000.0,6535500000.0,3558000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,9429500000.0,8754200000.0,6535500000.0,3558000000.0
Minority Interests,-776200000.0,-492900000.0,-466800000.0,-568400000.0
Net Income Including Noncontrolling Interests,10205700000.0,9247100000.0,7002300000.0,4126400000.0
Net Income Continuous Operations,10205700000.0,9247100000.0,7002300000.0,4126400000.0
Tax Provision,2860300000.0,2671200000.0,1911200000.0,1467800000.0
Pretax Income,13066000000.0,11918300000.0,8913500000.0,5594200000.0
Other Non Operating Income Expenses,169300000.0,148800000.0,155400000.0,209400000.0
Special Income Charges,136600000.0,282500000.0,147500000.0,187200000.0
Other Special Charges,-29400000.0,-314000000.0,-149600000.0,-189800000.0
Write Off,-21800000.0,1600000.0,2100000.0,2600000.0
Impairment Of Capital Assets,0.0,29900000.0,0.0,0.0
Restructuring And Mergern Acquisition,-85400000.0,0.0,,
Net Non Operating Interest Income Expense,-1649200000.0,-1077000000.0,-564800000.0,-554900000.0
Total Other Finance Cost,66500000.0,111600000.0,104300000.0,118800000.0
Interest Expense Non Operating,1637100000.0,1012000000.0,579700000.0,485700000.0
Interest Income Non Operating,54400000.0,46600000.0,119200000.0,49600000.0
Operating Income,12644400000.0,10610600000.0,8204900000.0,5005100000.0
Operating Expense,40605400000.0,34034500000.0,27005800000.0,21996100000.0
Other Operating Expenses,9459500000.0,8111500000.0,6329600000.0,4472800000.0
Depreciation And Amortization In Income Statement,6149300000.0,5262200000.0,4299300000.0,3917500000.0
Amortization,691000000.0,640900000.0,572900000.0,510500000.0
Depreciation Income Statement,5458300000.0,4621300000.0,3726400000.0,3407000000.0
Research And Development,518100000.0,388500000.0,264400000.0,211300000.0
Selling General And Administration,4438100000.0,3362300000.0,2669000000.0,1954100000.0
Selling And Marketing Expense,2742300000.0,2120400000.0,1880500000.0,1412700000.0
General And Administrative Expense,1695800000.0,1241900000.0,788500000.0,541400000.0
Rent And Landing Fees,319700000.0,322800000.0,355900000.0,285200000.0
Gross Profit,53249800000.0,44645100000.0,35210700000.0,27001200000.0
Cost Of Revenue,112562800000.0,94458500000.0,75633400000.0,55213800000.0
Total Revenue,165812600000.0,139103600000.0,110844100000.0,82215000000.0
Operating Revenue,165812600000.0,139103600000.0,110844100000.0,82215000000.0
