,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,4049313.846446,34706955.287438,2139869.998682,50766503.985214,
Tax Rate For Calcs,0.228775,0.228185,0.230094,0.158398,
Normalized EBITDA,6497100000.0,6327800000.0,5500500000.0,4223500000.0,
Total Unusual Items,17700000.0,152100000.0,9300000.0,320500000.0,
Total Unusual Items Excluding Goodwill,17700000.0,152100000.0,9300000.0,320500000.0,
Net Income From Continuing Operation Net Minority Interest,4073900000.0,4239600000.0,3501400000.0,2912700000.0,
Reconciled Depreciation,978600000.0,770000000.0,674800000.0,697500000.0,
Reconciled Cost Of Revenue,18200500000.0,16962300000.0,18568800000.0,15302400000.0,
EBITDA,6514800000.0,6479900000.0,5509800000.0,4544000000.0,
EBIT,5536200000.0,5709900000.0,4835000000.0,3846500000.0,
Net Interest Income,-235600000.0,-203300000.0,-282600000.0,-375700000.0,
Interest Expense,267700000.0,214800000.0,281200000.0,383700000.0,
Interest Income,59900000.0,44500000.0,20100000.0,48900000.0,
Normalized Income,4060249313.846446,4122206955.287438,3494239869.998682,2642966503.985214,
Net Income From Continuing And Discontinued Operation,4073900000.0,4239600000.0,3501400000.0,2912700000.0,
Total Expenses,28772700000.0,26099200000.0,27332100000.0,22951100000.0,
Rent Expense Supplemental,112600000.0,85000000.0,73600000.0,55500000.0,
Diluted Average Shares,304741780.0,304741780.0,304741780.0,304741780.0,
Basic Average Shares,304741780.0,304741780.0,304741780.0,304741780.0,
Diluted EPS,13.37,13.92,11.51,9.56,
Basic EPS,13.37,13.92,11.51,9.56,
Diluted NI Availto Com Stockholders,4073900000.0,4239600000.0,3501400000.0,2912700000.0,
Net Income Common Stockholders,4073900000.0,4239600000.0,3501400000.0,2912700000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4073900000.0,4239600000.0,3501400000.0,2912700000.0,
Minority Interests,10700000.0,-1600000.0,-4600000.0,-1600000.0,
Net Income Including Noncontrolling Interests,4063200000.0,4241200000.0,3506000000.0,2914300000.0,
Net Income Discontinuous Operations,,,,0.0,-44400000.0
Net Income Continuous Operations,4063200000.0,4241200000.0,3506000000.0,2914300000.0,
Tax Provision,1205300000.0,1253900000.0,1047800000.0,548500000.0,
Pretax Income,5268500000.0,5495100000.0,4553800000.0,3462800000.0,
Other Non Operating Income Expenses,248300000.0,141100000.0,168200000.0,147300000.0,
Special Income Charges,17700000.0,152100000.0,9300000.0,320500000.0,
Other Special Charges,-37300000.0,-187600000.0,-13800000.0,-328400000.0,
Write Off,19600000.0,35500000.0,4500000.0,7900000.0,
Net Non Operating Interest Income Expense,-235600000.0,-203300000.0,-282600000.0,-375700000.0,
Total Other Finance Cost,27800000.0,33000000.0,21500000.0,40900000.0,
Interest Expense Non Operating,267700000.0,214800000.0,281200000.0,383700000.0,
Interest Income Non Operating,59900000.0,44500000.0,20100000.0,48900000.0,
Operating Income,5060000000.0,5280700000.0,4541500000.0,3286700000.0,
Operating Expense,10572200000.0,9136900000.0,8763300000.0,7648700000.0,
Other Operating Expenses,3395100000.0,3126000000.0,3129400000.0,2377800000.0,
Depreciation And Amortization In Income Statement,978600000.0,770000000.0,674800000.0,697500000.0,
Amortization,20500000.0,11000000.0,10200000.0,36900000.0,
Depreciation Income Statement,958100000.0,759000000.0,664600000.0,660600000.0,
Research And Development,,,,33500000.0,36600000.0
Selling General And Administration,2254400000.0,1760500000.0,1995800000.0,1971100000.0,
Selling And Marketing Expense,1917400000.0,1437100000.0,1707800000.0,1634200000.0,
General And Administrative Expense,337000000.0,323400000.0,288000000.0,336900000.0,
Rent And Landing Fees,112600000.0,85000000.0,73600000.0,55500000.0,
Gross Profit,15632200000.0,14417600000.0,13304800000.0,10935400000.0,
Cost Of Revenue,18200500000.0,16962300000.0,18568800000.0,15302400000.0,
Total Revenue,33832700000.0,31379900000.0,31873600000.0,26237800000.0,
Operating Revenue,33832700000.0,31379900000.0,31873600000.0,26237800000.0,
