,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,12566582.920643,44175652.327221,13742719.167905,0.0,
Tax Rate For Calcs,0.242131,0.243124,0.260773,0.222908,
Normalized EBITDA,5289300000.0,4425700000.0,3310800000.0,3509924000.0,
Total Unusual Items,51900000.0,181700000.0,52700000.0,-7140000.0,
Total Unusual Items Excluding Goodwill,51900000.0,181700000.0,52700000.0,-7140000.0,
Net Income From Continuing Operation Net Minority Interest,3137200000.0,2575800000.0,1891200000.0,2276924000.0,
Reconciled Depreciation,956600000.0,808800000.0,644200000.0,491473000.0,
Reconciled Cost Of Revenue,36667800000.0,33124800000.0,29541400000.0,24138943000.0,
EBITDA,5341200000.0,4607400000.0,3363500000.0,3509924000.0,
EBIT,4384600000.0,3798600000.0,2719300000.0,3018451000.0,
Net Interest Income,-172400000.0,-308600000.0,-100500000.0,-78806000.0,
Interest Expense,245100000.0,395400000.0,161900000.0,78806000.0,
Interest Income,72700000.0,86800000.0,61400000.0,73449000.0,
Normalized Income,3097866582.920643,2438275652.327221,1852242719.167905,2276924000.0,
Net Income From Continuing And Discontinued Operation,3137200000.0,2575800000.0,1891200000.0,2276924000.0,
Total Expenses,51156200000.0,44721000000.0,38360800000.0,32091044000.0,
Rent Expense Supplemental,128600000.0,151900000.0,171300000.0,158431000.0,
Diluted Average Shares,439512234.0,438327754.0,435007084.0,433699810.0,
Basic Average Shares,437694778.0,436974476.0,431763620.0,430420416.0,
Diluted EPS,7.14,5.88,4.35,5.25,
Basic EPS,7.17,5.89,4.38,5.29,
Diluted NI Availto Com Stockholders,3137200000.0,2575800000.0,1891200000.0,2276924000.0,
Net Income Common Stockholders,3137200000.0,2575800000.0,1891200000.0,2276924000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,3137200000.0,2575800000.0,1891200000.0,2276924000.0,
Minority Interests,0.0,0.0,-700000.0,-7451000.0,
Net Income Including Noncontrolling Interests,3137200000.0,2575800000.0,1890500000.0,2284375000.0,
Net Income Continuous Operations,3137200000.0,2575800000.0,1890500000.0,2284375000.0,
Tax Provision,1002300000.0,827400000.0,666900000.0,655270000.0,
Pretax Income,4139500000.0,3403200000.0,2557400000.0,2939645000.0,
Other Non Operating Income Expenses,77600000.0,63200000.0,38500000.0,107636000.0,
Special Income Charges,-6700000.0,-8600000.0,-1800000.0,-7140000.0,
Other Special Charges,6700000.0,8600000.0,1800000.0,7140000.0,
Write Off,,,,,10849000.0
Net Non Operating Interest Income Expense,-172400000.0,-308600000.0,-100500000.0,-78806000.0,
Interest Expense Non Operating,245100000.0,395400000.0,161900000.0,78806000.0,
Interest Income Non Operating,72700000.0,86800000.0,61400000.0,73449000.0,
Operating Income,4213700000.0,3497100000.0,2558800000.0,2910815000.0,
Operating Expense,14488400000.0,11596200000.0,8819400000.0,7952101000.0,
Other Operating Expenses,3495000000.0,2856700000.0,2238000000.0,4760675000.0,
Depreciation And Amortization In Income Statement,956600000.0,808800000.0,644200000.0,491473000.0,
Amortization,161000000.0,116700000.0,51600000.0,30499000.0,
Depreciation Income Statement,795600000.0,692100000.0,592600000.0,491473000.0,
Selling General And Administration,3654600000.0,2868700000.0,2195800000.0,1334408000.0,
Selling And Marketing Expense,3108400000.0,2394200000.0,1773300000.0,1118160000.0,
General And Administrative Expense,546200000.0,474500000.0,422500000.0,216248000.0,
Rent And Landing Fees,128600000.0,151900000.0,171300000.0,158431000.0,
Gross Profit,18702100000.0,15093300000.0,11378200000.0,10862916000.0,
Cost Of Revenue,36667800000.0,33124800000.0,29541400000.0,24138943000.0,
Total Revenue,55369900000.0,48218100000.0,40919600000.0,35001859000.0,
Operating Revenue,55369900000.0,48218100000.0,40919600000.0,35001859000.0,
