,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,102005625.12584,37480544.777285,45593214.611724,116275395.013518
Tax Rate For Calcs,0.25589,0.256085,0.253775,0.248022
Normalized EBITDA,15488570000.0,12668710000.0,10332880000.0,8172170000.0
Total Unusual Items,398630000.0,146360000.0,179660000.0,468810000.0
Total Unusual Items Excluding Goodwill,398630000.0,146360000.0,179660000.0,468810000.0
Net Income From Continuing Operation Net Minority Interest,6319670000.0,4619350000.0,3212730000.0,2027700000.0
Reconciled Depreciation,5902370000.0,5172930000.0,4614440000.0,4055640000.0
Reconciled Cost Of Revenue,77003130000.0,64781530000.0,55533950000.0,40339980000.0
EBITDA,15887200000.0,12815070000.0,10512540000.0,8640980000.0
EBIT,9984830000.0,7642140000.0,5898100000.0,4585340000.0
Net Interest Income,-1643630000.0,-1538800000.0,-1711120000.0,-1983990000.0
Interest Expense,1491900000.0,1432630000.0,1592790000.0,1888850000.0
Interest Income,159210000.0,159500000.0,136960000.0,141410000.0
Normalized Income,6023045625.12584,4510470544.777285,3078663214.611724,1675165395.013518
Net Income From Continuing And Discontinued Operation,6319670000.0,4619350000.0,3212730000.0,2027700000.0
Total Expenses,97291630000.0,81386610000.0,69822870000.0,51543870000.0
Rent Expense Supplemental,432140000.0,298180000.0,200700000.0,172870000.0
Diluted Average Shares,4648371754.0,4508719493.0,4508719493.0,4508719493.0
Basic Average Shares,4518074629.0,4508719493.0,4508719493.0,4508719493.0
Diluted EPS,1.36,1.024537,0.712559,0.449729
Basic EPS,1.4,1.024537,0.712559,0.449729
Diluted NI Availto Com Stockholders,6319670000.0,4619350000.0,3212730000.0,2027700000.0
Net Income Common Stockholders,6319670000.0,4619350000.0,3212730000.0,2027700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6319670000.0,4619350000.0,3212730000.0,2027700000.0
Net Income Including Noncontrolling Interests,6319670000.0,4619350000.0,3212730000.0,2027700000.0
Net Income Continuous Operations,6319670000.0,4619350000.0,3212730000.0,2027700000.0
Tax Provision,2173260000.0,1590160000.0,1092580000.0,668790000.0
Pretax Income,8492930000.0,6209510000.0,4305310000.0,2696490000.0
Other Non Operating Income Expenses,23580000.0,69180000.0,30410000.0,26330000.0
Special Income Charges,22040000.0,14030000.0,55790000.0,335630000.0
Other Special Charges,-22040000.0,-14030000.0,-55790000.0,-335630000.0
Net Non Operating Interest Income Expense,-1643630000.0,-1538800000.0,-1711120000.0,-1983990000.0
Total Other Finance Cost,310940000.0,265670000.0,255290000.0,236550000.0
Interest Expense Non Operating,1491900000.0,1432630000.0,1592790000.0,1888850000.0
Interest Income Non Operating,159210000.0,159500000.0,136960000.0,141410000.0
Operating Income,9714350000.0,7532840000.0,5807050000.0,4185560000.0
Operating Expense,20288500000.0,16605080000.0,14288920000.0,11203890000.0
Other Operating Expenses,6320360000.0,4958370000.0,4212540000.0,2906840000.0
Depreciation And Amortization In Income Statement,5902370000.0,5172930000.0,4614440000.0,4055640000.0
Amortization,28280000.0,41040000.0,58200000.0,52140000.0
Depreciation Income Statement,5874090000.0,5131890000.0,4556240000.0,4003500000.0
Selling General And Administration,866570000.0,914420000.0,882450000.0,609490000.0
Selling And Marketing Expense,538310000.0,596210000.0,584350000.0,345800000.0
General And Administrative Expense,328260000.0,318210000.0,298100000.0,263690000.0
Rent And Landing Fees,432140000.0,298180000.0,200700000.0,172870000.0
Gross Profit,30002850000.0,24137920000.0,20095970000.0,15389450000.0
Cost Of Revenue,77003130000.0,64781530000.0,55533950000.0,40339980000.0
Total Revenue,107005980000.0,88919450000.0,75629920000.0,55729430000.0
Operating Revenue,107005980000.0,88919450000.0,75629920000.0,55729430000.0
