,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,514071202.183498,393180000.0,184020000.0,219337946.364549,
Tax Rate For Calcs,0.299366,0.3,0.3,0.274344,
Normalized EBITDA,11429200000.0,4582100000.0,3150100000.0,6804800000.0,
Total Unusual Items,1717200000.0,1310600000.0,613400000.0,799500000.0,
Total Unusual Items Excluding Goodwill,1717200000.0,1310600000.0,613400000.0,799500000.0,
Net Income From Continuing Operation Net Minority Interest,8413700000.0,2520000000.0,1350100000.0,5040900000.0,
Reconciled Depreciation,617800000.0,475900000.0,396200000.0,372600000.0,
Reconciled Cost Of Revenue,119754300000.0,98228900000.0,73851900000.0,59009300000.0,
EBITDA,13146400000.0,5892700000.0,3763500000.0,7604300000.0,
EBIT,12528600000.0,5416800000.0,3367300000.0,7231700000.0,
Net Interest Income,287000000.0,67000000.0,150000000.0,333100000.0,
Interest Expense,621100000.0,558800000.0,295900000.0,258700000.0,
Interest Income,908100000.0,625800000.0,445900000.0,591800000.0,
Normalized Income,7210571202.183498,1602580000.0,920720000.0,4460737946.364549,
Net Income From Continuing And Discontinued Operation,8413700000.0,2520000000.0,1350100000.0,5040900000.0,
Total Expenses,142518000000.0,119799900000.0,91085400000.0,71956400000.0,
Rent Expense Supplemental,527500000.0,333100000.0,266300000.0,270000000.0,
Diluted Average Shares,330884740.0,330884740.0,330884740.0,330884740.0,
Basic Average Shares,330884740.0,330884740.0,330884740.0,330884740.0,
Diluted EPS,25.43,7.62,4.08,15.23,
Basic EPS,25.43,7.62,4.08,15.23,
Diluted NI Availto Com Stockholders,8413700000.0,2520000000.0,1350100000.0,5040900000.0,
Net Income Common Stockholders,8413700000.0,2520000000.0,1350100000.0,5040900000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,8413700000.0,2520000000.0,1350100000.0,5040900000.0,
Minority Interests,70900000.0,38900000.0,-12100000.0,-19100000.0,
Net Income Including Noncontrolling Interests,8342800000.0,2481100000.0,1362200000.0,5060000000.0,
Net Income Continuous Operations,8342800000.0,2481100000.0,1362200000.0,5060000000.0,
Tax Provision,3564700000.0,2376900000.0,1709200000.0,1913000000.0,
Pretax Income,11907500000.0,4858000000.0,3071400000.0,6973000000.0,
Other Non Operating Income Expenses,547400000.0,489600000.0,462500000.0,350500000.0,
Special Income Charges,157000000.0,-3400000.0,-19000000.0,-11400000.0,
Other Special Charges,-157000000.0,3400000.0,19000000.0,11400000.0,
Restructuring And Mergern Acquisition,,,,,0.0
Net Non Operating Interest Income Expense,287000000.0,67000000.0,150000000.0,333100000.0,
Interest Expense Non Operating,621100000.0,558800000.0,295900000.0,258700000.0,
Interest Income Non Operating,908100000.0,625800000.0,445900000.0,591800000.0,
Operating Income,10686500000.0,4273700000.0,2908300000.0,6454300000.0,
Operating Expense,22763700000.0,21571000000.0,17233500000.0,12947100000.0,
Other Operating Expenses,8756700000.0,9926900000.0,7958500000.0,4907900000.0,
Depreciation And Amortization In Income Statement,617800000.0,475900000.0,396200000.0,372600000.0,
Amortization,23600000.0,28800000.0,30300000.0,33500000.0,
Depreciation Income Statement,594200000.0,447100000.0,365900000.0,339100000.0,
Selling General And Administration,4884400000.0,3786000000.0,2934400000.0,2154200000.0,
Selling And Marketing Expense,4256500000.0,2968200000.0,2340000000.0,1710600000.0,
General And Administrative Expense,627900000.0,817800000.0,594400000.0,443600000.0,
Rent And Landing Fees,527500000.0,333100000.0,266300000.0,270000000.0,
Gross Profit,33450200000.0,25844700000.0,20141800000.0,19401400000.0,
Cost Of Revenue,119754300000.0,98228900000.0,73851900000.0,59009300000.0,
Total Revenue,153204500000.0,124073600000.0,93993700000.0,78410700000.0,
Operating Revenue,153204500000.0,124073600000.0,93993700000.0,78410700000.0,
