,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-14401400.0,982646500.0,-38234456.0,36481500.0
Tax Rate For Calcs,0.2483,0.265,0.2612,0.33
Normalized EBITDA,30618000000.0,17642200000.0,9253640000.0,1866540000.0
Total Unusual Items,-58000000.0,3708100000.0,-146380000.0,110550000.0
Total Unusual Items Excluding Goodwill,-58000000.0,3708100000.0,-146380000.0,110550000.0
Net Income From Continuing Operation Net Minority Interest,18673900000.0,12371800000.0,4827600000.0,756390000.0
Reconciled Depreciation,4024500000.0,2768100000.0,1641340000.0,432740000.0
Reconciled Cost Of Revenue,106510200000.0,91019000000.0,53631630000.0,24088960000.0
EBITDA,30560000000.0,21350300000.0,9107260000.0,1977090000.0
EBIT,26535500000.0,18582200000.0,7465920000.0,1544350000.0
Net Interest Income,2142300000.0,106700000.0,-313660000.0,-315500000.0
Interest Expense,889100000.0,1240200000.0,694420000.0,360620000.0
Interest Income,3663200000.0,1505800000.0,509040000.0,93350000.0
Normalized Income,18717498600.0,9646346500.0,4935745544.0,682321500.0
Net Income From Continuing And Discontinued Operation,18673900000.0,12371800000.0,4827600000.0,756390000.0
Total Expenses,120378400000.0,100697400000.0,59333120000.0,27727520000.0
Rent Expense Supplemental,90200000.0,49100000.0,11070000.0,8730000.0
Diluted Average Shares,274792655.0,287283199.0,287283199.0,287283199.0
Basic Average Shares,273668025.0,287283199.0,287283199.0,287283199.0
Diluted EPS,67.96,43.064823,16.804324,2.632907
Basic EPS,68.24,43.064823,16.804324,2.632907
Diluted NI Availto Com Stockholders,18673900000.0,12371800000.0,4827600000.0,756390000.0
Net Income Common Stockholders,18673900000.0,12371800000.0,4827600000.0,756390000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,18673900000.0,12371800000.0,4827600000.0,756390000.0
Minority Interests,-607400000.0,-372000000.0,-175170000.0,-40110000.0
Net Income Including Noncontrolling Interests,19281300000.0,12743800000.0,5002770000.0,796500000.0
Net Income Continuous Operations,19281300000.0,12743800000.0,5002770000.0,796500000.0
Tax Provision,6365100000.0,4598200000.0,1768730000.0,387230000.0
Pretax Income,25646400000.0,17342000000.0,6771500000.0,1183730000.0
Other Non Operating Income Expenses,138400000.0,27100000.0,9110000.0,471960000.0
Special Income Charges,-224500000.0,3384700000.0,-217200000.0,104140000.0
Other Special Charges,186500000.0,-3413400000.0,205510000.0,-104170000.0
Write Off,0.0,24800000.0,0.0,0.0
Impairment Of Capital Assets,38000000.0,3900000.0,11690000.0,30000.0
Net Non Operating Interest Income Expense,2142300000.0,106700000.0,-313660000.0,-315500000.0
Total Other Finance Cost,631800000.0,158900000.0,128280000.0,48230000.0
Interest Expense Non Operating,889100000.0,1240200000.0,694420000.0,360620000.0
Interest Income Non Operating,3663200000.0,1505800000.0,509040000.0,93350000.0
Operating Income,23376700000.0,13014900000.0,6747020000.0,708880000.0
Operating Expense,13868200000.0,9678400000.0,5701490000.0,3638560000.0
Other Operating Expenses,144600000.0,176500000.0,9690000.0,51670000.0
Depreciation And Amortization In Income Statement,4024500000.0,2768100000.0,1641340000.0,432740000.0
Amortization,4400000.0,4300000.0,4020000.0,3560000.0
Depreciation Income Statement,4020100000.0,2763800000.0,1637320000.0,429180000.0
Selling General And Administration,7117200000.0,5187000000.0,4260340000.0,2714750000.0
Selling And Marketing Expense,4101400000.0,3568500000.0,3170290000.0,2234230000.0
General And Administrative Expense,3015800000.0,1618500000.0,1090050000.0,480520000.0
Rent And Landing Fees,90200000.0,49100000.0,11070000.0,8730000.0
Gross Profit,37244900000.0,22693300000.0,12448510000.0,4347440000.0
Cost Of Revenue,106510200000.0,91019000000.0,53631630000.0,24088960000.0
Total Revenue,143755100000.0,113712300000.0,66080140000.0,28436400000.0
Operating Revenue,143755100000.0,113712300000.0,66080140000.0,28436400000.0
