,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1400702000.106106,276836103.800549,586170000.0,1122734417.766743,
Tax Rate For Calcs,0.158983,0.19631,0.3,0.327586,
Normalized EBITDA,20429000000.0,19159800000.0,6671400000.0,6666400000.0,
Total Unusual Items,8810400000.0,1410200000.0,1953900000.0,3427300000.0,
Total Unusual Items Excluding Goodwill,8810400000.0,1410200000.0,1953900000.0,3427300000.0,
Net Income From Continuing Operation Net Minority Interest,19081400000.0,11104000000.0,2066900000.0,4388100000.0,
Reconciled Depreciation,3510700000.0,3478700000.0,3029700000.0,2547500000.0,
Reconciled Cost Of Revenue,93572100000.0,125684100000.0,74189900000.0,48907700000.0,
EBITDA,29239400000.0,20570000000.0,8625300000.0,10093700000.0,
EBIT,25728700000.0,17091300000.0,5595600000.0,7546200000.0,
Net Interest Income,-2280200000.0,-2092900000.0,-1509200000.0,628500000.0,
Interest Expense,3109900000.0,2956500000.0,2259300000.0,940600000.0,
Interest Income,916300000.0,950900000.0,922400000.0,1647400000.0,
Normalized Income,11671702000.106106,9970636103.800549,699170000.0,2083534417.766743,
Net Income From Continuing And Discontinued Operation,19081400000.0,11104000000.0,2066900000.0,4388100000.0,
Total Expenses,119868500000.0,156130300000.0,92626100000.0,60901700000.0,
Rent Expense Supplemental,145700000.0,116800000.0,133300000.0,27500000.0,
Diluted Average Shares,263415764.0,262410050.0,262030089.0,261608832.0,
Basic Average Shares,262118573.0,261553402.0,261302696.0,260949395.0,
Diluted EPS,72.44,42.32,7.89,16.77,
Basic EPS,72.8,42.45,7.91,16.82,
Diluted NI Availto Com Stockholders,19081400000.0,11104000000.0,2066900000.0,4388100000.0,
Net Income Common Stockholders,19081400000.0,11104000000.0,2066900000.0,4388100000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,19081400000.0,11104000000.0,2066900000.0,4388100000.0,
Minority Interests,58600000.0,-256000000.0,75200000.0,-53600000.0,
Net Income Including Noncontrolling Interests,19022800000.0,11360000000.0,1991700000.0,4441700000.0,
Net Income Discontinuous Operations,,,,0.0,-110380000.0
Net Income Continuous Operations,19022800000.0,11360000000.0,1991700000.0,4441700000.0,
Tax Provision,3596000000.0,2774800000.0,1344600000.0,2163900000.0,
Pretax Income,22618800000.0,14134800000.0,3336300000.0,6605600000.0,
Other Non Operating Income Expenses,242300000.0,264200000.0,181900000.0,209200000.0,
Special Income Charges,8427000000.0,1064400000.0,1142800000.0,-70000000.0,
Other Special Charges,-8427000000.0,-1063400000.0,-1054400000.0,70000000.0,
Write Off,0.0,-1000000.0,-88400000.0,0.0,
Net Non Operating Interest Income Expense,-2280200000.0,-2092900000.0,-1509200000.0,628500000.0,
Total Other Finance Cost,86600000.0,87300000.0,172300000.0,78300000.0,
Interest Expense Non Operating,3109900000.0,2956500000.0,2259300000.0,940600000.0,
Interest Income Non Operating,916300000.0,950900000.0,922400000.0,1647400000.0,
Operating Income,13349700000.0,12825800000.0,2244500000.0,2390100000.0,
Operating Expense,26296400000.0,30446200000.0,18436200000.0,11994000000.0,
Other Operating Expenses,14799900000.0,17401000000.0,9539400000.0,6021300000.0,
Depreciation And Amortization In Income Statement,3510700000.0,3478700000.0,3029700000.0,2547500000.0,
Amortization,43000000.0,39800000.0,25100000.0,39400000.0,
Depreciation Income Statement,3467700000.0,3438900000.0,3004600000.0,2508100000.0,
Selling General And Administration,2276200000.0,2554000000.0,1780200000.0,1057100000.0,
Selling And Marketing Expense,556300000.0,995900000.0,479200000.0,46400000.0,
General And Administrative Expense,1719900000.0,1558100000.0,1301000000.0,1010700000.0,
Rent And Landing Fees,145700000.0,116800000.0,133300000.0,27500000.0,
Gross Profit,39646100000.0,43272000000.0,20680700000.0,14384100000.0,
Cost Of Revenue,93572100000.0,125684100000.0,74189900000.0,48907700000.0,
Total Revenue,133218200000.0,168956100000.0,94870600000.0,63291800000.0,
Operating Revenue,133218200000.0,168956100000.0,94870600000.0,63291800000.0,
