,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,38423195.145202,40436950.20425,51295154.185022,-6008593.651557
Tax Rate For Calcs,0.251296,0.304266,0.329237,0.305005
Normalized EBITDA,14074300000.0,14745400000.0,8315800000.0,13869700000.0
Total Unusual Items,152900000.0,132900000.0,155800000.0,-19700000.0
Total Unusual Items Excluding Goodwill,152900000.0,132900000.0,155800000.0,-19700000.0
Net Income From Continuing Operation Net Minority Interest,6391600000.0,6811000000.0,1988300000.0,6011700000.0
Reconciled Depreciation,3733900000.0,3944900000.0,4421400000.0,4204700000.0
Reconciled Cost Of Revenue,62335400000.0,56539100000.0,49369100000.0,56036700000.0
EBITDA,14227200000.0,14878300000.0,8471600000.0,13850000000.0
EBIT,10493300000.0,10933400000.0,4050200000.0,9645300000.0
Net Interest Income,-1199700000.0,-946900000.0,-729100000.0,-1027200000.0
Interest Expense,1891500000.0,1263900000.0,1031100000.0,915600000.0
Interest Income,975100000.0,587200000.0,569700000.0,285300000.0
Normalized Income,6277123195.145202,6718536950.20425,1883795154.185022,6025391406.348443
Net Income From Continuing And Discontinued Operation,6391600000.0,6811000000.0,1988300000.0,6011700000.0
Total Expenses,85388100000.0,76447000000.0,67966300000.0,73970200000.0
Rent Expense Supplemental,378500000.0,338800000.0,543900000.0,321300000.0
Diluted Average Shares,956266850.0,964968662.0,984228482.0,992772714.0
Basic Average Shares,954654379.0,964748251.0,984228482.0,992761680.0
Diluted EPS,6.68,7.06,2.02,6.06
Basic EPS,6.7,7.06,2.02,6.06
Diluted NI Availto Com Stockholders,6391600000.0,6811000000.0,1988300000.0,6011700000.0
Net Income Common Stockholders,6391600000.0,6811000000.0,1988300000.0,6011700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6391600000.0,6811000000.0,1988300000.0,6011700000.0
Minority Interests,-48600000.0,83600000.0,-36800000.0,-55400000.0
Net Income Including Noncontrolling Interests,6440200000.0,6727400000.0,2025100000.0,6067100000.0
Net Income Continuous Operations,6440200000.0,6727400000.0,2025100000.0,6067100000.0
Tax Provision,2161600000.0,2942100000.0,994000000.0,2662600000.0
Pretax Income,8601800000.0,9669500000.0,3019100000.0,8729700000.0
Other Non Operating Income Expenses,347800000.0,660000000.0,476500000.0,362100000.0
Special Income Charges,22100000.0,57000000.0,151200000.0,-18500000.0
Other Special Charges,-22200000.0,-58600000.0,-156900000.0,16900000.0
Write Off,100000.0,1600000.0,5700000.0,1600000.0
Net Non Operating Interest Income Expense,-1199700000.0,-946900000.0,-729100000.0,-1027200000.0
Total Other Finance Cost,283300000.0,270200000.0,267700000.0,396900000.0
Interest Expense Non Operating,1891500000.0,1263900000.0,1031100000.0,915600000.0
Interest Income Non Operating,975100000.0,587200000.0,569700000.0,285300000.0
Operating Income,9405000000.0,9758900000.0,3492500000.0,9497300000.0
Operating Expense,23052700000.0,19907900000.0,18597200000.0,17933500000.0
Other Operating Expenses,9421300000.0,8836800000.0,8241000000.0,6959100000.0
Depreciation And Amortization In Income Statement,3733900000.0,3944900000.0,4421400000.0,4204700000.0
Amortization,50600000.0,99100000.0,111300000.0,101400000.0
Depreciation Income Statement,3683300000.0,3845800000.0,4310100000.0,4103300000.0
Research And Development,216300000.0,175500000.0,113800000.0,156400000.0
Selling General And Administration,6956900000.0,5733200000.0,6197100000.0,6474600000.0
Selling And Marketing Expense,4808200000.0,3926700000.0,4655300000.0,4975800000.0
General And Administrative Expense,2148700000.0,1806500000.0,1541800000.0,1498800000.0
Rent And Landing Fees,378500000.0,338800000.0,543900000.0,321300000.0
Gross Profit,32457700000.0,29666800000.0,22089700000.0,27430800000.0
Cost Of Revenue,62335400000.0,56539100000.0,49369100000.0,56036700000.0
Total Revenue,94793100000.0,86205900000.0,71458800000.0,83467500000.0
Operating Revenue,94793100000.0,86205900000.0,71458800000.0,83467500000.0
