,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,85079748.163694,88575473.852478,38037604.143211,-796376.937816,
Tax Rate For Calcs,0.242392,0.240694,0.262328,0.265459,
Normalized EBITDA,9400000000.0,9919000000.0,6385000000.0,7939000000.0,
Total Unusual Items,351000000.0,368000000.0,145000000.0,-3000000.0,
Total Unusual Items Excluding Goodwill,351000000.0,368000000.0,145000000.0,-3000000.0,
Net Income From Continuing Operation Net Minority Interest,6498000000.0,6650000000.0,3276000000.0,4163000000.0,
Reconciled Depreciation,1019000000.0,1338000000.0,1830000000.0,1848000000.0,
Reconciled Cost Of Revenue,38453000000.0,34973000000.0,37604000000.0,31460000000.0,
EBITDA,9751000000.0,10287000000.0,6530000000.0,7936000000.0,
EBIT,8732000000.0,8949000000.0,4700000000.0,6088000000.0,
Net Interest Income,894000000.0,694000000.0,127000000.0,-119000000.0,
Interest Expense,155000000.0,191000000.0,259000000.0,347000000.0,
Interest Income,1067000000.0,903000000.0,407000000.0,247000000.0,
Normalized Income,6232079748.163694,6370575473.852478,3169037604.143211,4165203623.062184,
Net Income From Continuing And Discontinued Operation,6498000000.0,6650000000.0,3276000000.0,4163000000.0,
Total Expenses,45245000000.0,41513000000.0,44777000000.0,37171000000.0,
Rent Expense Supplemental,135000000.0,130000000.0,101000000.0,85000000.0,
Diluted Average Shares,228534148.0,228318492.0,227515631.0,227877009.0,
Basic Average Shares,226824413.0,226508101.0,226356924.0,225879925.0,
Diluted EPS,28.43,29.13,14.4,18.27,
Basic EPS,28.65,29.36,14.47,18.43,
Diluted NI Availto Com Stockholders,6498000000.0,6650000000.0,3276000000.0,4163000000.0,
Net Income Common Stockholders,6498000000.0,6650000000.0,3276000000.0,4163000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,6498000000.0,6650000000.0,3276000000.0,4163000000.0,
Minority Interests,,0.0,0.0,-54000000.0,-70000000.0
Net Income Including Noncontrolling Interests,6498000000.0,6650000000.0,3276000000.0,4217000000.0,
Net Income Continuous Operations,6498000000.0,6650000000.0,3276000000.0,4217000000.0,
Tax Provision,2079000000.0,2108000000.0,1165000000.0,1524000000.0,
Pretax Income,8577000000.0,8758000000.0,4441000000.0,5741000000.0,
Other Non Operating Income Expenses,131000000.0,185000000.0,78000000.0,127000000.0,
Special Income Charges,-243000000.0,-50000000.0,11000000.0,-75000000.0,
Other Special Charges,-11000000.0,4000000.0,-21000000.0,1000000.0,
Write Off,254000000.0,46000000.0,10000000.0,74000000.0,
Impairment Of Capital Assets,,,,,19300000.0
Net Non Operating Interest Income Expense,894000000.0,694000000.0,127000000.0,-119000000.0,
Total Other Finance Cost,18000000.0,18000000.0,21000000.0,19000000.0,
Interest Expense Non Operating,155000000.0,191000000.0,259000000.0,347000000.0,
Interest Income Non Operating,1067000000.0,903000000.0,407000000.0,247000000.0,
Operating Income,7561000000.0,7506000000.0,3705000000.0,5267000000.0,
Operating Expense,6792000000.0,6540000000.0,7173000000.0,5711000000.0,
Other Operating Expenses,1870000000.0,1651000000.0,1832000000.0,700000000.0,
Depreciation And Amortization In Income Statement,1019000000.0,1338000000.0,1830000000.0,1848000000.0,
Amortization,227000000.0,489000000.0,805000000.0,837000000.0,
Depreciation Income Statement,792000000.0,849000000.0,1025000000.0,1011000000.0,
Selling General And Administration,1120000000.0,1062000000.0,1119000000.0,1034000000.0,
Selling And Marketing Expense,163000000.0,155000000.0,141000000.0,151000000.0,
General And Administrative Expense,957000000.0,907000000.0,978000000.0,883000000.0,
Rent And Landing Fees,135000000.0,130000000.0,101000000.0,85000000.0,
Gross Profit,14353000000.0,14046000000.0,10878000000.0,10978000000.0,
Cost Of Revenue,38453000000.0,34973000000.0,37604000000.0,31460000000.0,
Total Revenue,52806000000.0,49019000000.0,48482000000.0,42438000000.0,
Operating Revenue,52806000000.0,49019000000.0,48482000000.0,42438000000.0,
