,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-6646072.208039,-3007244.860301,6095277.630614,-921461.461613,
Tax Rate For Calcs,0.262857,0.304315,0.303353,0.209948,
Normalized EBITDA,4411730000.0,1973025000.0,784545000.0,90550000.0,
Total Unusual Items,-25284000.0,-9882000.0,20093000.0,-4389000.0,
Total Unusual Items Excluding Goodwill,-25284000.0,-9882000.0,20093000.0,-4389000.0,
Net Income From Continuing Operation Net Minority Interest,2802441000.0,1278846000.0,427381000.0,19851000.0,
Reconciled Depreciation,154136000.0,97014000.0,60565000.0,48335000.0,
Reconciled Cost Of Revenue,3847285000.0,1286857000.0,662353000.0,171865000.0,
EBITDA,4386446000.0,1963143000.0,804638000.0,86161000.0,
EBIT,4232309000.0,1866129000.0,744072000.0,37825000.0,
Net Interest Income,295070000.0,85720000.0,23468000.0,27734000.0,
Interest Expense,171570000.0,4590000.0,26806000.0,4793000.0,
Interest Income,488827000.0,108533000.0,64224000.0,43039000.0,
Normalized Income,2821078927.791961,1285720755.139699,413383277.630614,23318538.538387,
Net Income From Continuing And Discontinued Operation,2802441000.0,1278846000.0,427381000.0,19851000.0,
Total Expenses,6040036000.0,2653512000.0,1522913000.0,698582000.0,
Rent Expense Supplemental,39522000.0,18261000.0,18790000.0,5018000.0,
Diluted Average Shares,87394062.0,83370465.0,83313261.0,80864876.0,
Basic Average Shares,87394062.0,82781871.0,79248634.0,79510000.0,
Diluted EPS,32.07,15.34,5.2,0.25,
Basic EPS,32.07,15.45,5.39,0.25,
Diluted NI Availto Com Stockholders,2802441000.0,1279206000.0,432846000.0,19851000.0,
Net Income Common Stockholders,2802441000.0,1279206000.0,432846000.0,19851000.0,
Otherunder Preferred Stock Dividend,0.0,-360000.0,-5465000.0,0.0,
Net Income,2802441000.0,1278846000.0,427381000.0,19851000.0,
Minority Interests,-190905000.0,-16198000.0,-72300000.0,-6245000.0,
Net Income Including Noncontrolling Interests,2993346000.0,1295044000.0,499682000.0,26096000.0,
Net Income Continuous Operations,2993346000.0,1295044000.0,499682000.0,26096000.0,
Tax Provision,1067393000.0,566495000.0,217585000.0,6935000.0,
Pretax Income,4060739000.0,1861539000.0,717266000.0,33032000.0,
Other Non Operating Income Expenses,70810000.0,34867000.0,5949000.0,5768000.0,
Special Income Charges,-25284000.0,-9882000.0,20093000.0,-4389000.0,
Other Special Charges,,-24090000.0,-20093000.0,2796000.0,
Write Off,25284000.0,33972000.0,0.0,1593000.0,
Net Non Operating Interest Income Expense,295070000.0,85720000.0,23468000.0,27734000.0,
Total Other Finance Cost,22187000.0,18223000.0,13950000.0,10512000.0,
Interest Expense Non Operating,171570000.0,4590000.0,26806000.0,4793000.0,
Interest Income Non Operating,488827000.0,108533000.0,64224000.0,43039000.0,
Operating Income,3696380000.0,1745008000.0,665549000.0,-1058000.0,
Operating Expense,2192751000.0,1366655000.0,860560000.0,526717000.0,
Other Operating Expenses,544777000.0,352038000.0,228390000.0,152155000.0,
Depreciation And Amortization In Income Statement,154137000.0,96795000.0,60566000.0,48336000.0,
Amortization,8670000.0,7996000.0,6960000.0,6960000.0,
Depreciation Income Statement,145467000.0,88799000.0,53606000.0,41376000.0,
Research And Development,112000.0,0.0,,40955000.0,42848000.0
Selling General And Administration,566645000.0,308843000.0,192401000.0,109998000.0,
Selling And Marketing Expense,149714000.0,190437000.0,116885000.0,53920000.0,
General And Administrative Expense,416931000.0,118406000.0,75516000.0,56078000.0,
Rent And Landing Fees,39522000.0,18261000.0,18790000.0,5018000.0,
Gross Profit,5889131000.0,3111663000.0,1526109000.0,525659000.0,
Cost Of Revenue,3847285000.0,1286857000.0,662353000.0,171865000.0,
Total Revenue,9736416000.0,4398520000.0,2188462000.0,697524000.0,
Operating Revenue,9736416000.0,4398520000.0,2188462000.0,697524000.0,
