,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-496192642.739808,215668344.111959,-1130340966.135074,474180261.442514,
Tax Rate For Calcs,0.234274,0.203269,0.226976,0.180297,
Normalized EBITDA,71128000000.0,55109000000.0,33418000000.0,34256000000.0,
Total Unusual Items,-768000000.0,1061000000.0,961000000.0,2630000000.0,
Total Unusual Items Excluding Goodwill,-2118000000.0,1061000000.0,-4980000000.0,2630000000.0,
Net Income From Continuing Operation Net Minority Interest,45255000000.0,38365000000.0,19649000000.0,22416000000.0,
Reconciled Depreciation,9158000000.0,7641000000.0,7227000000.0,7361000000.0,
Reconciled Cost Of Revenue,66664000000.0,65004000000.0,65589000000.0,58189000000.0,
EBITDA,70360000000.0,56170000000.0,34379000000.0,36886000000.0,
EBIT,61202000000.0,48529000000.0,27152000000.0,29525000000.0,
Net Interest Income,859000000.0,776000000.0,-541000000.0,-511000000.0,
Interest Expense,935000000.0,440000000.0,1255000000.0,1144000000.0,
Interest Income,1852000000.0,1268000000.0,757000000.0,688000000.0,
Normalized Income,48226807357.26019,37519668344.11196,29439659033.864925,20260180261.442513,
Net Income From Continuing And Discontinued Operation,45255000000.0,38595000000.0,19603000000.0,44873000000.0,
Total Expenses,165945000000.0,144823000000.0,140250000000.0,123535000000.0,
Rent Expense Supplemental,306000000.0,261000000.0,229000000.0,206000000.0,
Diluted Average Shares,1006233990.0,1011926837.0,1015649871.0,1023742600.0,
Basic Average Shares,1006233990.0,1011926837.0,1015649871.0,1023742600.0,
Diluted EPS,44.97,38.14,19.3,43.83,
Basic EPS,44.97,38.14,19.3,43.83,
Diluted NI Availto Com Stockholders,45255000000.0,38595000000.0,19603000000.0,44873000000.0,
Net Income Common Stockholders,45255000000.0,38595000000.0,19603000000.0,44873000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,45255000000.0,38595000000.0,19603000000.0,44873000000.0,
Minority Interests,-1471000000.0,-1133000000.0,-1316000000.0,-1310000000.0,
Net Income Including Noncontrolling Interests,46726000000.0,39728000000.0,20919000000.0,46183000000.0,
Net Income Discontinuous Operations,0.0,230000000.0,-46000000.0,22457000000.0,
Net Income Continuous Operations,46726000000.0,39498000000.0,20965000000.0,23726000000.0,
Tax Provision,14119000000.0,9775000000.0,5878000000.0,5117000000.0,
Pretax Income,60267000000.0,48089000000.0,25897000000.0,28381000000.0,
Other Non Operating Income Expenses,89000000.0,41000000.0,36000000.0,31000000.0,
Special Income Charges,-2517000000.0,-324000000.0,-5834000000.0,1110000000.0,
Other Special Charges,-345000000.0,8000000.0,-107000000.0,-1110000000.0,
Write Off,150000000.0,3000000.0,21000000.0,26000000.0,
Impairment Of Capital Assets,846000000.0,0.0,,0.0,731000000.0
Restructuring And Mergern Acquisition,666000000.0,316000000.0,0.0,0.0,
Net Non Operating Interest Income Expense,859000000.0,776000000.0,-541000000.0,-511000000.0,
Total Other Finance Cost,58000000.0,52000000.0,43000000.0,55000000.0,
Interest Expense Non Operating,935000000.0,440000000.0,1255000000.0,1144000000.0,
Interest Income Non Operating,1852000000.0,1268000000.0,757000000.0,688000000.0,
Operating Income,59793000000.0,45392000000.0,28528000000.0,24741000000.0,
Operating Expense,99281000000.0,79819000000.0,74661000000.0,65346000000.0,
Other Operating Expenses,27541000000.0,22447000000.0,20348000000.0,17297000000.0,
Depreciation And Amortization In Income Statement,9158000000.0,7641000000.0,7227000000.0,7130000000.0,
Amortization,2261000000.0,1292000000.0,1071000000.0,1452000000.0,
Depreciation Income Statement,6897000000.0,6349000000.0,6156000000.0,5678000000.0,
Research And Development,1894000000.0,1558000000.0,1358000000.0,1146000000.0,
Selling General And Administration,30207000000.0,21756000000.0,21401000000.0,18014000000.0,
Selling And Marketing Expense,22072000000.0,16580000000.0,15572000000.0,13733000000.0,
General And Administrative Expense,8135000000.0,5176000000.0,5829000000.0,4281000000.0,
Rent And Landing Fees,306000000.0,261000000.0,229000000.0,206000000.0,
Gross Profit,159074000000.0,125211000000.0,103189000000.0,90087000000.0,
Cost Of Revenue,66664000000.0,65004000000.0,65589000000.0,58189000000.0,
Total Revenue,225738000000.0,190215000000.0,168778000000.0,148276000000.0,
Operating Revenue,225738000000.0,190215000000.0,168778000000.0,148276000000.0,
